show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,id,duration_int,duration_type
s1729,movie,vault,nan,nan,united states,2020-04-14,2019,r,99 min,"crime, drama","vault tells the true story of a group of small time criminals who attempt to pull off the biggest heist in american history: stealing over $30 million from the mafia in the smallest state in the union, rhode island.",63,hs1729,99,min
s1730,movie,little joe,nan,nan,"austria, united kingdom, germany, france",2020-04-09,2019,105 min,nan,"drama, horror, science fiction","alice is a corporate plant breeder. against company policy, she takes home her newest creation –  a flower capable of making its owner happy. but as ‘little joe’ grows, so too do suspicions that it may not be as harmless as it seems.",48,hs1730,nan,nan
s1731,movie,13 assassins,nan,nan,nan,2020-04-08,2011,r,125 min,"action, adventure, drama","cult director takashi miike (ichi the killer, audition) delivers a bravado period action film set at the end of japan’s feudal era. 13 assassins is centered around a group of elite samurai who are secretly enlisted to bring down a sadistic lord.",78,hs1731,125,min
s1732,movie,barking dogs never bite,nan,nan,south korea,2020-04-08,2000,nr,110 min,"comedy, international","in bong joon-ho’s directorial debut, a couple is driven to distraction by a yapping dog located in their apartment complex. determined to relieve their annoyance, they take extreme action against his tormentor.",83,hs1732,110,min
s1733,movie,cashback,nan,nan,nan,2020-04-08,2007,r,102 min,"comedy, drama, international","ben develops insomnia after a painful breakup. to kill time, he takes a night shift at the local supermarket. dealing with the boredom of an eight-hour shift, ben imagines freezing time, which allows him to see the beauty of the everyday world.",84,hs1733,102,min
s1734,movie,force majeure,nan,nan,"sweden, france, norway, denmark",2020-04-08,2014,r,120 min,"comedy, drama","a wickedly funny psychodrama of a model swedish family – tomas, his wife, and their children – on a skiing holiday. an avalanche suddenly bears down on them. tomas makes a decision that leaves him struggling to reclaim his role as family patriarch.",68,hs1734,120,min
s1735,movie,jesus camp,nan,nan,united states,2020-04-08,2006,pg-13,85 min,documentaries,"jesus camp follows three kids to pastor becky fischer's ""kids on fire"" camp where young kids are taught to become christian soldiers in ""god's army."" the kids hone their ""prophetic gifts"" and are schooled in how to ""take back america for christ.""",79,hs1735,85,min
s1736,movie,let the right one in,nan,nan,sweden,2020-04-08,2008,r,115 min,"drama, horror, international","lonely, 12-year-old oskar is regularly bullied by his stronger classmates.  a new friendship develops when eli, a pale, serious young girl who only comes out at night, moves in next door.",3,hs1736,115,min
s1737,movie,melancholia,nan,nan,"denmark, sweden, france, germany",2020-04-08,2011,r,135 min,"drama, science fiction",justine (kirsten dunst) and michael (alexander skarsgård) celebrate their marriage at a sumptuous party in the home of justine’s sister claire (charlotte gainsbourg) and brother-in-law john (kiefer sutherland).,71,hs1737,135,min
s1738,movie,mother,nan,nan,south korea,2020-04-08,2009,r,129 min,"crime, drama, horror",a woman embarks on an obsessive quest to clear her son's name of murder.,94,hs1738,129,min
