show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,id,duration_int,duration_type
s1208,tv show,spider-woman,nan,"joan ark, bruce miller, bryan scott, lou krugman, dick tufeld",united states,2019-11-12,1979,tv-y7,1 season,"action-adventure, animation, kids",jessica drew has superhuman powers. she uses them as spider-woman.,37,ds1208,1,season
s1209,tv show,star wars forces of destiny (shorts),nan,"ashley eckstein, matt lanter, c1-10p a.k.a. ""chopper"" , john boyega, vanessa marshall, felicity jones",united states,2019-11-12,2016,tv-y7,2 season,"action-adventure, animation, anthology",untold stories from the heroines of star wars.,70,ds1209,2,season
s1210,tv show,star wars rebels,nan,"taylor gray, vanessa marshall, freddie prinze jr., tiya sircar, steve blum, c1-10p a.k.a. ""chopper""",united states,2019-11-12,2014,tv-y7,4 season,"action-adventure, animation, kids",the ghost crew provides a spark to ignite a rebellion.,27,ds1210,4,season
s1211,tv show,star wars rebels (shorts),nan,nan,nan,2019-11-12,2014,tv-y7,1 season,"action-adventure, animation, kids",it is a dark time in the galaxy as the empire continues to tighten its grip.,84,ds1211,1,season
s1212,movie,star wars: a new hope (episode iv),george lucas,"mark hamill, harrison ford, carrie fisher, peter cushing, alec guinness, anthony daniels",united states,2019-11-12,1977,pg,125 min,"action-adventure, science fiction",a young farm boy intercepts a distress call from the captive princess leia.,1,ds1212,125,min
s1213,movie,star wars: attack of the clones (episode ii),george lucas,"ewan mcgregor, natalie portman, hayden christensen, frank oz, ian mcdiarmid, pernilla august",united states,2019-11-12,2002,pg,143 min,"action-adventure, science fiction",young anakin and padmé fall in love as galactic war looms.,71,ds1213,143,min
s1214,tv show,star wars: blips,nan,nan,united states,2019-11-12,2019,tv-y7-fv,1 season,series,what does a curious little droid do when he's not on a daring mission to save the galaxy?,36,ds1214,1,season
s1215,movie,star wars: return of the jedi (episode vi),richard marquand,"mark hamill, harrison ford, carrie fisher, billy williams, anthony daniels, peter mayhew",united states,2019-11-12,1983,pg,135 min,"action-adventure, science fiction",luke skywalker faces darth vader in a final duel.,99,ds1215,135,min
s1216,movie,star wars: revenge of the sith (episode iii),george lucas,"ewan mcgregor, natalie portman, hayden christensen, ian mcdiarmid, frank oz, jimmy smits",united states,2019-11-12,2005,pg-13,140 min,"action-adventure, science fiction","as the republic falls, anakin skywalker becomes the evil darth vader.",61,ds1216,140,min
s1217,movie,star wars: the empire strikes back (episode v),irvin kershner,"mark hamill, harrison ford, carrie fisher, billy williams, anthony daniels, david prowse",united states,2019-11-12,1980,pg,127 min,"action-adventure, science fiction",luke skywalker trains as a jedi and confronts darth vader.,44,ds1217,127,min
